iter	Passed	Remaining
0	13	3273
1	25	3215
2	34	2815
3	41	2563
4	54	2659
5	66	2719
6	81	2823
7	94	2870
8	110	2954
9	124	2985
10	137	2983
11	150	2977
12	163	2972
13	175	2964
14	186	2916
15	198	2905
16	212	2916
17	219	2825
18	231	2814
19	244	2812
20	256	2798
21	269	2791
22	282	2789
23	295	2785
24	308	2774
25	319	2753
26	332	2748
27	345	2741
28	359	2738
29	370	2719
30	383	2710
31	395	2697
32	408	2688
33	421	2674
34	433	2662
35	445	2648
36	457	2632
37	469	2619
38	481	2603
39	492	2586
40	504	2572
41	516	2560
42	529	2547
43	540	2530
44	552	2518
45	565	2506
46	577	2495
47	589	2481
48	594	2438
49	606	2424
50	618	2414
51	630	2399
52	642	2387
53	654	2375
54	666	2361
55	677	2348
56	690	2338
57	701	2321
58	713	2308
59	724	2295
60	737	2284
61	750	2275
62	762	2261
63	773	2247
64	784	2234
65	795	2218
66	806	2203
67	818	2190
68	829	2177
69	840	2162
70	852	2148
71	862	2133
72	873	2118
73	885	2105
74	896	2091
75	907	2077
76	919	2065
77	930	2052
78	941	2037
79	952	2025
80	963	2010
81	974	1996
82	986	1983
83	996	1969
84	1007	1955
85	1018	1942
86	1030	1929
87	1041	1916
88	1051	1902
89	1062	1888
90	1073	1875
91	1084	1862
92	1095	1849
93	1106	1836
94	1117	1823
95	1128	1810
96	1140	1798
97	1150	1785
98	1155	1763
99	1167	1750
100	1178	1737
101	1188	1724
102	1198	1711
103	1210	1699
104	1222	1688
105	1233	1675
106	1245	1663
107	1256	1652
108	1268	1641
109	1279	1629
110	1291	1617
111	1302	1604
112	1313	1591
113	1324	1580
114	1336	1568
115	1341	1550
116	1353	1538
117	1365	1527
118	1376	1514
119	1381	1496
120	1392	1484
121	1403	1472
122	1414	1460
123	1425	1448
124	1437	1437
125	1448	1425
126	1459	1413
127	1471	1402
128	1476	1385
129	1488	1373
130	1499	1361
131	1510	1350
132	1521	1338
133	1532	1326
134	1543	1314
135	1555	1303
136	1566	1292
137	1577	1280
138	1584	1265
139	1594	1253
140	1605	1241
141	1613	1227
142	1624	1215
143	1635	1203
144	1647	1192
145	1650	1176
146	1662	1164
147	1673	1153
148	1684	1141
149	1694	1129
150	1705	1117
151	1715	1106
152	1726	1094
153	1731	1079
154	1746	1070
155	1758	1059
156	1777	1052
157	1798	1047
158	1812	1037
159	1828	1028
160	1843	1018
161	1856	1008
162	1876	1001
163	1891	992
164	1907	982
165	1921	972
166	1927	957
167	1939	946
168	1953	936
169	1965	924
170	1976	913
171	1988	901
172	2001	890
173	2012	878
174	2024	867
175	2035	855
176	2047	844
177	2059	833
178	2072	821
179	2078	808
180	2091	797
181	2104	786
182	2116	774
183	2127	763
184	2139	751
185	2150	740
186	2163	728
187	2175	717
188	2187	706
189	2198	694
190	2210	682
191	2221	671
192	2233	659
193	2244	647
194	2256	636
195	2268	625
196	2279	613
197	2291	601
198	2302	590
199	2314	578
200	2325	566
201	2336	555
202	2347	543
203	2358	531
204	2369	520
205	2380	508
206	2391	496
207	2401	484
208	2412	473
209	2423	461
210	2435	450
211	2446	438
212	2457	426
213	2468	415
214	2478	403
215	2489	391
216	2500	380
217	2511	368
218	2521	356
219	2532	345
220	2542	333
221	2553	322
222	2564	310
223	2575	298
224	2586	287
225	2596	275
226	2606	264
227	2616	252
228	2627	240
229	2637	229
230	2647	217
231	2656	206
232	2666	194
233	2677	183
234	2689	171
235	2700	160
236	2716	149
237	2737	138
238	2752	126
239	2770	115
240	2788	104
241	2802	92
242	2819	81
243	2831	69
244	2842	58
245	2853	46
246	2869	34
247	2881	23
248	2896	11
249	2908	0
9	12
249	3061	0
